service_id,date,exception_type
H  01LP200_101001,20250307,1
H  01LP200_101001,20250310,1
H  01LP200_101001,20250311,1
H  01LP200_101001,20250312,1
H  01SP103_101001,20250308,1
H  02FP102_101002,20250309,1
H  02LP109_101002,20250306,1
H  02LP109_101002,20250307,1
H  02LP109_101002,20250310,1
H  02LP109_101002,20250311,1
H  02LP109_101002,20250312,1
H  02SP100_101002,20250308,1
H  03FP100_101003,20250309,1
H  03LP108_101003,20250306,1
H  03LP108_101003,20250307,1
H  03LP108_101003,20250310,1
H  03LP108_101003,20250311,1
H  03LP108_101003,20250312,1
H  03SP100_101003,20250308,1
H  04FP100_101004,20250309,1
H  04LP107_101004,20250306,1
H  04LP107_101004,20250307,1
H  04LP107_101004,20250310,1
H  04LP107_101004,20250311,1
H  04LP107_101004,20250312,1
H  04SP100_101004,20250308,1
H  05LP105_101005,20250306,1
H  05LP105_101005,20250307,1
H  05LP105_101005,20250310,1
H  05LP105_101005,20250311,1
H  05LP105_101005,20250312,1
H  06LP111_101006,20250306,1
H  06LP111_101006,20250307,1
H  06LP111_101006,20250310,1
H  06LP111_101006,20250311,1
H  06LP111_101006,20250312,1
H  07LP111_101007,20250306,1
H  07LP111_101007,20250307,1
H  07LP111_101007,20250310,1
H  07LP111_101007,20250311,1
H  07LP111_101007,20250312,1
H  08LP111_101008,20250306,1
H  08LP111_101008,20250307,1
H  08LP111_101008,20250310,1
H  08LP111_101008,20250311,1
H  08LP111_101008,20250312,1
H  09LP107_101009,20250306,1
H  09LP107_101009,20250307,1
H  09LP107_101009,20250310,1
H  09LP107_101009,20250311,1
H  09LP107_101009,20250312,1
H  10LP108_101010,20250306,1
H  10LP108_101010,20250307,1
H  10LP108_101010,20250310,1
H  10LP108_101010,20250311,1
H  10LP108_101010,20250312,1
H  11LP107_101011,20250306,1
H  11LP107_101011,20250307,1
H  11LP107_101011,20250310,1
H  11LP107_101011,20250311,1
H  11LP107_101011,20250312,1
H  12LP103_101012,20250306,1
H  12LP103_101012,20250307,1
H  12LP103_101012,20250310,1
H  12LP103_101012,20250311,1
H  12LP103_101012,20250312,1
L1101FP103_011001,20250309,1
L1101LP101_011001,20250306,1
L1101LP101_011001,20250307,1
L1101LP101_011001,20250310,1
L1101LP101_011001,20250311,1
L1101LP101_011001,20250312,1
L1101SP106_011001,20250308,1
L1102FP103_011002,20250309,1
L1102LP104_011002,20250306,1
L1102LP104_011002,20250307,1
L1102LP104_011002,20250310,1
L1102LP104_011002,20250311,1
L1102LP104_011002,20250312,1
L1102SP103_011002,20250308,1
L1103FP103_011003,20250309,1
L1103LP102_011003,20250306,1
L1103LP102_011003,20250307,1
L1103LP102_011003,20250310,1
L1103LP102_011003,20250311,1
L1103LP102_011003,20250312,1
L1103SP103_011003,20250308,1
L1104FP103_011004,20250309,1
L1104LP101_011004,20250306,1
L1104LP101_011004,20250307,1
L1104LP101_011004,20250310,1
L1104LP101_011004,20250311,1
L1104LP101_011004,20250312,1
L1104SP103_011004,20250308,1
L1105FP103_011005,20250309,1
L1105LP103_011005,20250306,1
L1105LP103_011005,20250307,1
L1105LP103_011005,20250310,1
L1105LP103_011005,20250311,1
L1105LP103_011005,20250312,1
L1105SP103_011005,20250308,1
L1201LP102_012001,20250306,1
L1201LP102_012001,20250307,1
L1201LP102_012001,20250310,1
L1201LP102_012001,20250311,1
L1201LP102_012001,20250312,1
L1201SP101_012001,20250308,1
L1202LP102_012002,20250306,1
L1202LP102_012002,20250307,1
L1202LP102_012002,20250310,1
L1202LP102_012002,20250311,1
L1202LP102_012002,20250312,1
L1202SP100_012002,20250308,1
L1203LP103_012003,20250306,1
L1203LP103_012003,20250307,1
L1203LP103_012003,20250310,1
