trip_id,start_time,end_time,headway_secs
923D1I,8:13:00,22:10:00,965
923D1I,22:10:00,22:50:00,2400
923D1I,22:50:00,23:30:00,2400
923D1I,23:30:00,24:10:00,2400
923D1I,24:10:00,24:50:00,2400
923D1I,24:50:00,25:30:00,2400
923D1I,25:30:00,26:15:00,2700
923D1I,26:15:00,27:00:00,2700
923D1V,6:40:00,7:15:00,2100
923D1V,7:15:00,8:23:00,1360
923D1V,8:23:00,9:04:00,1230
923D1V,9:04:00,9:17:00,1560
923D1V,9:17:00,9:30:00,390
923D1V,9:30:00,9:56:00,1560
923D1V,9:56:00,10:09:00,780
923D1V,10:09:00,21:36:00,1005
923D1V,21:36:00,21:51:00,1740
923D1V,21:51:00,22:05:00,840
923D1V,22:05:00,22:50:00,900
923D1V,22:50:00,23:30:00,2400
923D1V,23:30:00,24:10:00,2400
923D1V,24:10:00,24:50:00,2400
923D1V,24:50:00,25:30:00,2400
923D1V,25:30:00,26:15:00,2700
923D1V,26:15:00,27:00:00,2700
1020D2I,7:40:00,8:20:00,2400
1020D2I,8:20:00,9:15:00,1650
1020D2I,9:15:00,22:25:00,1130
1020D2V,7:00:00,7:40:00,2400
1020D2V,7:40:00,8:37:00,1710
1020D2V,8:37:00,22:20:00,1149
1020D0I,6:25:00,6:43:00,1080
1020D0I,6:43:00,15:38:00,764
1020D0I,15:38:00,15:48:00,1200
1020D0I,15:48:00,15:59:00,660
1020D0I,15:59:00,22:05:00,757
1020D0I,22:05:00,22:25:00,1200
1020D0V,5:45:00,6:03:00,1080
1020D0V,6:03:00,22:25:00,776
1020D1I,6:25:00,7:05:00,2400
1020D1I,7:05:00,8:06:00,1830
1020D1I,8:06:00,22:10:00,893
1020D1V,5:45:00,6:25:00,2400
1020D1V,6:25:00,7:27:00,1860
1020D1V,7:27:00,9:35:00,1097
1020D1V,9:35:00,9:50:00,1740
1020D1V,9:50:00,10:05:00,900
1020D1V,10:05:00,22:10:00,900
827D0I,7:10:00,7:45:00,2100
827D0I,7:45:00,22:20:00,1109
827D0V,6:35:00,7:05:00,1800
827D0V,7:05:00,22:15:00,1100
1021D2I,7:45:00,8:30:00,2700
1021D2I,8:30:00,22:15:00,1043
1021D2V,7:20:00,8:05:00,2700
1021D2V,8:05:00,22:15:00,1047
1021D0I,7:15:00,7:48:00,1980
1021D0I,7:48:00,22:10:00,1189
1021D0V,6:45:00,7:15:00,1800
1021D0V,7:15:00,22:05:00,1207
1021D1I,7:45:00,8:15:00,1800
1021D1I,8:15:00,22:00:00,1100
1021D1I,22:00:00,22:25:00,1500
1021D1V,7:20:00,8:05:00,2700
1021D1V,8:05:00,22:25:00,1089
983D0I,6:35:00,7:11:00,2160
983D0I,7:11:00,8:01:00,1500
983D0I,8:01:00,22:35:00,826
983D0I,22:35:00,23:20:00,2700
983D0I,23:20:00,24:25:00,3900
983D0I,24:25:00,25:30:00,3900
983D0V,6:00:00,6:35:00,2100
983D0V,6:35:00,7:23:00,1440
